
step 0: train loss 11.0016, val loss 11.0015
iter 231: loss 3.8765, time 428.23ms, mfu 7.31%
iter 232: loss 3.7521, time 338.76ms, mfu 7.41%
iter 233: loss 3.8041, time 436.12ms, mfu 7.31%
iter 234: loss 3.8281, time 341.42ms, mfu 7.40%
iter 235: loss 3.8592, time 430.64ms, mfu 7.31%
iter 236: loss 3.8021, time 342.37ms, mfu 7.40%
iter 237: loss 3.9042, time 431.85ms, mfu 7.31%
iter 238: loss 3.8053, time 341.75ms, mfu 7.40%
iter 239: loss 3.8315, time 459.17ms, mfu 7.27%
iter 240: loss 3.8363, time 337.42ms, mfu 7.37%
iter 241: loss 3.8022, time 430.52ms, mfu 7.29%
iter 242: loss 3.8140, time 339.53ms, mfu 7.39%
iter 243: loss 3.8357, time 435.32ms, mfu 7.29%
iter 244: loss 3.8612, time 336.82ms, mfu 7.40%
iter 245: loss 3.8252, time 434.73ms, mfu 7.30%
iter 246: loss 3.7343, time 345.88ms, mfu 7.38%
iter 247: loss 3.8035, time 430.82ms, mfu 7.30%
iter 248: loss 3.8133, time 337.32ms, mfu 7.40%
iter 249: loss 3.8231, time 435.88ms, mfu 7.30%
step 250: train loss 3.7968, val loss 3.7611
saving checkpoint to out-rocstories_guan3
iter 250: loss 3.8600, time 512945.26ms, mfu 6.57%
iter 251: loss 3.9143, time 430.78ms, mfu 6.57%
iter 252: loss 3.8131, time 341.22ms, mfu 6.73%
iter 253: loss 3.7201, time 434.23ms, mfu 6.70%
iter 254: loss 3.7709, time 340.43ms, mfu 6.86%
iter 255: loss 3.8517, time 430.41ms, mfu 6.82%
iter 256: loss 3.8446, time 336.43ms, mfu 6.98%
iter 257: loss 3.8259, time 446.92ms, mfu 6.91%
iter 258: loss 3.7445, time 337.95ms, mfu 7.05%
iter 259: loss 3.7941, time 431.28ms, mfu 6.99%
iter 260: loss 3.8325, time 340.72ms, mfu 7.12%
iter 261: loss 3.8146, time 435.44ms, mfu 7.05%
iter 262: loss 3.8017, time 340.18ms, mfu 7.17%
iter 263: loss 3.8166, time 430.06ms, mfu 7.10%
iter 264: loss 3.7494, time 354.55ms, mfu 7.18%
iter 265: loss 3.7654, time 450.50ms, mfu 7.09%
iter 266: loss 3.7000, time 340.32ms, mfu 7.20%
iter 267: loss 3.8005, time 436.59ms, mfu 7.13%
iter 268: loss 3.8074, time 340.47ms, mfu 7.24%
iter 269: loss 3.7497, time 428.25ms, mfu 7.17%
iter 270: loss 3.7555, time 335.54ms, mfu 7.29%
iter 271: loss 3.8135, time 437.99ms, mfu 7.20%
iter 272: loss 3.8041, time 338.27ms, mfu 7.31%
iter 273: loss 3.7137, time 434.68ms, mfu 7.22%
iter 274: loss 3.7772, time 340.09ms, mfu 7.33%
iter 275: loss 3.6448, time 435.29ms, mfu 7.24%
iter 276: loss 3.7554, time 336.87ms, mfu 7.35%
iter 277: loss 3.7434, time 437.45ms, mfu 7.25%
iter 278: loss 3.7242, time 340.70ms, mfu 7.35%
iter 279: loss 3.7359, time 431.21ms, mfu 7.27%
iter 280: loss 3.7865, time 343.51ms, mfu 7.36%
iter 281: loss 3.7086, time 435.32ms, mfu 7.27%
iter 282: loss 3.7835, time 341.06ms, mfu 7.36%
iter 283: loss 3.7177, time 437.68ms, mfu 7.27%
iter 284: loss 3.7440, time 342.20ms, mfu 7.36%
iter 285: loss 3.8410, time 427.93ms, mfu 7.28%
iter 286: loss 3.7526, time 337.64ms, mfu 7.38%
iter 287: loss 3.7929, time 436.04ms, mfu 7.29%
iter 288: loss 3.7424, time 336.46ms, mfu 7.39%
iter 289: loss 3.7763, time 433.60ms, mfu 7.30%
iter 290: loss 3.7677, time 343.61ms, mfu 7.39%
iter 291: loss 3.7521, time 432.10ms, mfu 7.30%
iter 292: loss 3.8357, time 336.92ms, mfu 7.40%
iter 293: loss 3.7460, time 438.31ms, mfu 7.30%
iter 294: loss 3.7848, time 340.15ms, mfu 7.39%
iter 295: loss 3.8038, time 431.99ms, mfu 7.30%
iter 296: loss 3.7671, time 340.15ms, mfu 7.40%
iter 297: loss 3.7488, time 434.36ms, mfu 7.31%
iter 298: loss 3.8333, time 337.60ms, mfu 7.41%
iter 299: loss 3.7303, time 434.66ms, mfu 7.31%
iter 300: loss 3.7888, time 349.77ms, mfu 7.38%
iter 301: loss 3.7040, time 433.75ms, mfu 7.29%
iter 302: loss 3.8052, time 336.59ms, mfu 7.39%
iter 303: loss 3.8353, time 436.67ms, mfu 7.30%
iter 304: loss 3.7686, time 346.51ms, mfu 7.38%
iter 305: loss 3.7417, time 433.15ms, mfu 7.29%
iter 306: loss 3.6431, time 337.02ms, mfu 7.39%
iter 307: loss 3.6955, time 440.47ms, mfu 7.29%
iter 308: loss 3.6019, time 338.49ms, mfu 7.39%
iter 309: loss 3.7184, time 432.77ms, mfu 7.30%
iter 310: loss 3.7037, time 349.91ms, mfu 7.37%
iter 311: loss 3.6020, time 433.23ms, mfu 7.28%
iter 312: loss 3.8285, time 339.68ms, mfu 7.38%
iter 313: loss 3.7446, time 430.76ms, mfu 7.29%
iter 314: loss 3.6879, time 341.60ms, mfu 7.38%
iter 315: loss 3.8169, time 431.47ms, mfu 7.30%
iter 316: loss 3.7282, time 338.02ms, mfu 7.40%
iter 317: loss 3.7993, time 436.12ms, mfu 7.30%
iter 318: loss 3.6462, time 338.50ms, mfu 7.40%
iter 319: loss 3.7612, time 432.96ms, mfu 7.31%
iter 320: loss 3.7909, time 344.17ms, mfu 7.39%
iter 321: loss 3.7272, time 434.45ms, mfu 7.30%
iter 322: loss 3.7627, time 338.43ms, mfu 7.40%
iter 323: loss 3.8127, time 434.65ms, mfu 7.30%
iter 324: loss 3.7405, time 344.14ms, mfu 7.39%
iter 325: loss 3.7726, time 432.10ms, mfu 7.30%
iter 326: loss 3.7032, time 341.90ms, mfu 7.39%
iter 327: loss 3.7126, time 437.28ms, mfu 7.29%
iter 328: loss 3.6429, time 337.03ms, mfu 7.39%
iter 329: loss 3.7689, time 431.37ms, mfu 7.31%
iter 330: loss 3.7742, time 343.87ms, mfu 7.39%
iter 331: loss 3.6558, time 431.73ms, mfu 7.30%
iter 332: loss 3.6663, time 335.60ms, mfu 7.41%
iter 333: loss 3.7220, time 436.88ms, mfu 7.31%
iter 334: loss 3.7338, time 341.51ms, mfu 7.40%
iter 335: loss 3.7947, time 433.17ms, mfu 7.31%
iter 336: loss 3.8323, time 337.39ms, mfu 7.41%
iter 337: loss 3.7171, time 434.26ms, mfu 7.31%
iter 338: loss 3.6632, time 338.24ms, mfu 7.41%
iter 339: loss 3.7130, time 433.12ms, mfu 7.32%
iter 340: loss 3.7614, time 345.10ms, mfu 7.40%
iter 341: loss 3.7243, time 429.13ms, mfu 7.31%
iter 342: loss 3.7286, time 339.68ms, mfu 7.41%
iter 343: loss 3.7291, time 441.25ms, mfu 7.30%
iter 344: loss 3.6388, time 336.34ms, mfu 7.41%
iter 345: loss 3.7150, time 430.54ms, mfu 7.32%
iter 346: loss 3.6940, time 340.75ms, mfu 7.41%
iter 347: loss 3.6923, time 435.62ms, mfu 7.31%
iter 348: loss 3.6988, time 336.26ms, mfu 7.42%
iter 349: loss 3.7761, time 441.64ms, mfu 7.31%
iter 350: loss 3.6914, time 342.46ms, mfu 7.40%
iter 351: loss 3.7762, time 433.07ms, mfu 7.31%
iter 352: loss 3.7329, time 339.36ms, mfu 7.40%
iter 353: loss 3.6936, time 435.89ms, mfu 7.30%
iter 354: loss 3.7251, time 338.80ms, mfu 7.40%
iter 355: loss 3.6855, time 432.10ms, mfu 7.31%
iter 356: loss 3.6597, time 341.57ms, mfu 7.40%
iter 357: loss 3.7302, time 432.36ms, mfu 7.31%
iter 358: loss 3.6983, time 338.83ms, mfu 7.41%
iter 359: loss 3.7026, time 432.63ms, mfu 7.31%
iter 360: loss 3.6950, time 341.15ms, mfu 7.41%
iter 361: loss 3.7960, time 431.67ms, mfu 7.32%
iter 362: loss 3.7882, time 343.32ms, mfu 7.40%
iter 363: loss 3.6561, time 431.81ms, mfu 7.31%
iter 364: loss 3.6649, time 338.46ms, mfu 7.41%
iter 365: loss 3.7363, time 430.99ms, mfu 7.32%
iter 366: loss 3.6420, time 342.26ms, mfu 7.41%
iter 367: loss 3.7178, time 432.96ms, mfu 7.31%
