
step 0: train loss 11.0016, val loss 11.0015
iter 260: loss 3.8326, time 1281.94ms, mfu 2.11%
iter 261: loss 3.8145, time 1276.99ms, mfu 2.12%
iter 262: loss 3.8014, time 1284.91ms, mfu 2.13%
iter 263: loss 3.8168, time 1277.99ms, mfu 2.13%
iter 264: loss 3.7495, time 1282.17ms, mfu 2.14%
iter 265: loss 3.7681, time 1281.21ms, mfu 2.14%
iter 266: loss 3.7160, time 1277.63ms, mfu 2.15%
iter 267: loss 3.7967, time 1277.36ms, mfu 2.15%
iter 268: loss 3.7976, time 1281.09ms, mfu 2.16%
iter 269: loss 3.7532, time 1277.14ms, mfu 2.16%
iter 270: loss 3.7508, time 1278.05ms, mfu 2.16%
iter 271: loss 3.8144, time 1275.65ms, mfu 2.17%
iter 272: loss 3.8030, time 1278.90ms, mfu 2.17%
iter 273: loss 3.7154, time 1278.55ms, mfu 2.17%
iter 274: loss 3.7779, time 1280.76ms, mfu 2.17%
iter 275: loss 3.6483, time 1277.72ms, mfu 2.18%
iter 276: loss 3.7546, time 1297.10ms, mfu 2.18%
iter 277: loss 3.7467, time 1277.35ms, mfu 2.18%
iter 278: loss 3.7253, time 1277.15ms, mfu 2.18%
iter 279: loss 3.7373, time 1273.16ms, mfu 2.18%
iter 280: loss 3.7889, time 1278.07ms, mfu 2.18%
iter 281: loss 3.7102, time 1274.80ms, mfu 2.18%
iter 282: loss 3.7847, time 1275.53ms, mfu 2.19%
iter 283: loss 3.7178, time 1288.63ms, mfu 2.19%
iter 284: loss 3.7449, time 1276.75ms, mfu 2.19%
iter 285: loss 3.8405, time 1273.52ms, mfu 2.19%
iter 286: loss 3.7502, time 1277.99ms, mfu 2.19%
iter 287: loss 3.7918, time 1272.31ms, mfu 2.19%
iter 288: loss 3.7434, time 1275.75ms, mfu 2.19%
iter 289: loss 3.7749, time 1277.00ms, mfu 2.19%
iter 290: loss 3.7684, time 1278.76ms, mfu 2.19%
iter 291: loss 3.7486, time 1273.79ms, mfu 2.19%
iter 292: loss 3.8372, time 1276.35ms, mfu 2.19%
iter 293: loss 3.7429, time 1275.75ms, mfu 2.19%
iter 294: loss 3.7838, time 1272.79ms, mfu 2.20%
iter 295: loss 3.8035, time 1277.31ms, mfu 2.20%
iter 296: loss 3.7681, time 1275.27ms, mfu 2.20%
iter 297: loss 3.7482, time 1273.66ms, mfu 2.20%
iter 298: loss 3.8353, time 1277.49ms, mfu 2.20%
