
step 0: train loss 11.0016, val loss 11.0015
iter 249: loss 3.8231, time 422.38ms, mfu 7.58%
step 250: train loss 3.7967, val loss 3.7610
saving checkpoint to out-rocstories_guan2
iter 250: loss 3.8599, time 492495.05ms, mfu 6.82%
iter 251: loss 3.9145, time 430.86ms, mfu 6.79%
iter 252: loss 3.8131, time 324.98ms, mfu 6.98%
iter 253: loss 3.7201, time 422.88ms, mfu 6.94%
iter 254: loss 3.7709, time 326.01ms, mfu 7.11%
iter 255: loss 3.8516, time 417.61ms, mfu 7.07%
iter 256: loss 3.8447, time 330.22ms, mfu 7.21%
iter 257: loss 3.8263, time 420.25ms, mfu 7.16%
iter 258: loss 3.7447, time 324.21ms, mfu 7.31%
iter 259: loss 3.7943, time 427.23ms, mfu 7.23%
iter 260: loss 3.8325, time 325.90ms, mfu 7.37%
iter 261: loss 3.8144, time 417.09ms, mfu 7.31%
iter 262: loss 3.8013, time 328.41ms, mfu 7.43%
iter 263: loss 3.8168, time 419.43ms, mfu 7.36%
iter 264: loss 3.7500, time 324.74ms, mfu 7.48%
iter 265: loss 3.7694, time 416.98ms, mfu 7.41%
iter 266: loss 3.7162, time 324.19ms, mfu 7.53%
iter 267: loss 3.7961, time 420.43ms, mfu 7.45%
iter 268: loss 3.8018, time 331.48ms, mfu 7.55%
iter 269: loss 3.7502, time 419.27ms, mfu 7.46%
iter 270: loss 3.7529, time 323.05ms, mfu 7.58%
iter 271: loss 3.8165, time 417.31ms, mfu 7.50%
iter 272: loss 3.8006, time 327.34ms, mfu 7.61%
iter 273: loss 3.7198, time 416.94ms, mfu 7.52%
iter 274: loss 3.7770, time 325.47ms, mfu 7.63%
iter 275: loss 3.6471, time 422.45ms, mfu 7.53%
iter 276: loss 3.7582, time 327.03ms, mfu 7.63%
iter 277: loss 3.7439, time 419.44ms, mfu 7.54%
iter 278: loss 3.7248, time 326.41ms, mfu 7.65%
iter 279: loss 3.7396, time 419.04ms, mfu 7.55%
iter 280: loss 3.7874, time 326.59ms, mfu 7.65%
iter 281: loss 3.7090, time 422.20ms, mfu 7.55%
iter 282: loss 3.7863, time 322.61ms, mfu 7.67%
iter 283: loss 3.7196, time 423.99ms, mfu 7.56%
iter 284: loss 3.7438, time 326.45ms, mfu 7.67%
iter 285: loss 3.8415, time 419.45ms, mfu 7.57%
iter 286: loss 3.7531, time 323.96ms, mfu 7.68%
iter 287: loss 3.7932, time 420.69ms, mfu 7.58%
iter 288: loss 3.7438, time 325.14ms, mfu 7.68%
iter 289: loss 3.7775, time 421.00ms, mfu 7.58%
iter 290: loss 3.7695, time 324.47ms, mfu 7.69%
iter 291: loss 3.7493, time 418.87ms, mfu 7.59%
iter 292: loss 3.8407, time 326.49ms, mfu 7.69%
iter 293: loss 3.7447, time 423.40ms, mfu 7.58%
iter 294: loss 3.7853, time 324.52ms, mfu 7.69%
iter 295: loss 3.8071, time 418.87ms, mfu 7.59%
iter 296: loss 3.7683, time 324.26ms, mfu 7.70%
iter 297: loss 3.7513, time 415.64ms, mfu 7.60%
iter 298: loss 3.8364, time 322.77ms, mfu 7.71%
iter 299: loss 3.7292, time 424.93ms, mfu 7.60%
iter 300: loss 3.7874, time 324.67ms, mfu 7.70%
iter 301: loss 3.7068, time 419.48ms, mfu 7.60%
iter 302: loss 3.8040, time 326.88ms, mfu 7.70%
iter 303: loss 3.8358, time 418.07ms, mfu 7.60%
iter 304: loss 3.7686, time 326.66ms, mfu 7.70%
iter 305: loss 3.7431, time 423.81ms, mfu 7.59%
iter 306: loss 3.6437, time 325.17ms, mfu 7.70%
iter 307: loss 3.6953, time 421.61ms, mfu 7.59%
iter 308: loss 3.6034, time 332.39ms, mfu 7.68%
iter 309: loss 3.7163, time 417.63ms, mfu 7.58%
