
step 0: train loss 4.5682, val loss 4.4975
iter 250: loss 2.1503, time 144634.45ms, mfu 13.00%
iter 251: loss 2.1184, time 138.37ms, mfu 13.18%
iter 252: loss 2.1505, time 141.39ms, mfu 13.31%
iter 253: loss 2.0624, time 140.84ms, mfu 13.43%
iter 254: loss 1.8479, time 141.38ms, mfu 13.53%
iter 255: loss 2.1265, time 143.54ms, mfu 13.60%
iter 256: loss 2.1365, time 139.89ms, mfu 13.71%
iter 257: loss 2.1444, time 141.75ms, mfu 13.78%
iter 258: loss 2.2802, time 142.72ms, mfu 13.83%
iter 259: loss 1.9310, time 141.53ms, mfu 13.90%
iter 260: loss 2.1401, time 141.35ms, mfu 13.95%
iter 261: loss 1.8270, time 141.53ms, mfu 14.00%
iter 262: loss 1.9949, time 140.99ms, mfu 14.05%
iter 263: loss 2.1821, time 140.68ms, mfu 14.10%
iter 264: loss 2.1219, time 141.91ms, mfu 14.14%
iter 265: loss 1.9351, time 142.99ms, mfu 14.15%
iter 266: loss 2.1942, time 140.42ms, mfu 14.19%
iter 267: loss 1.9990, time 141.05ms, mfu 14.23%
iter 268: loss 2.0666, time 142.30ms, mfu 14.24%
iter 269: loss 2.0543, time 141.38ms, mfu 14.26%
iter 270: loss 2.1362, time 140.29ms, mfu 14.30%
iter 271: loss 2.1410, time 141.44ms, mfu 14.31%
iter 272: loss 2.0511, time 144.20ms, mfu 14.30%
iter 273: loss 2.1302, time 141.43ms, mfu 14.32%
iter 274: loss 2.1840, time 143.48ms, mfu 14.31%
iter 275: loss 2.0426, time 141.20ms, mfu 14.33%
iter 276: loss 2.1835, time 140.81ms, mfu 14.35%
iter 277: loss 1.8502, time 141.25ms, mfu 14.36%
iter 278: loss 2.2695, time 141.36ms, mfu 14.37%
iter 279: loss 2.0008, time 143.58ms, mfu 14.36%
iter 280: loss 2.0438, time 141.72ms, mfu 14.37%
iter 281: loss 1.9847, time 141.13ms, mfu 14.38%
iter 282: loss 1.8954, time 142.55ms, mfu 14.38%
iter 283: loss 2.1502, time 140.59ms, mfu 14.40%
iter 284: loss 2.0320, time 142.50ms, mfu 14.39%
iter 285: loss 2.1048, time 139.84ms, mfu 14.42%
iter 286: loss 2.2572, time 141.86ms, mfu 14.42%
iter 287: loss 2.0025, time 141.03ms, mfu 14.43%
iter 288: loss 2.0375, time 141.13ms, mfu 14.43%
iter 289: loss 2.1143, time 142.96ms, mfu 14.42%
iter 290: loss 1.9174, time 140.02ms, mfu 14.44%
iter 291: loss 2.1753, time 141.23ms, mfu 14.44%
iter 292: loss 2.2014, time 140.52ms, mfu 14.46%
iter 293: loss 1.9716, time 143.22ms, mfu 14.44%
